,index,LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
101,129302,,,,VERNON,,,421110.0,,,,,,,,,
102,129307,,,501 Broad Street 0.0,,,,,,,,,,,,,
103,129308,,,575 Broad Street 0.0,,,,,,,,,,,,,
104,129333,,,101 MERRITT 7 CORPORATE PARK 0.0,,,,,,,,,,,,,
105,129389,,,1150 SUMMER STREET 2001 W MAIN ST STE 244,,,6902.0,,,,,,,,,,
106,129426,,,1 Schuyler Avenue 0.0,,,,,,,,,,,,,
107,129433,,,198 Baxter Avenue 0.0,,,,,,,,,,,,,
108,129448,,,,,,6098.0,,,,,,,,,,
109,129455,,,,,,,454111.0,,,,,,,,,
110,129456,,,"39 KINGS HWY, SUITE A SUITE A",,,,,,,,,,,,,
111,129532,,,15 Hosley Avenue 184 Morgan Avenue East Haven CT 06512,,,,,,,,,,,,,
112,129533,,,"446 Blake Street, A Suite 100",,,,,,,,,,,,,
113,129557,,,,,,,,,,,,,,,PeoplesBank,
114,129579,,,,,,,,,,,,,,,,CT -
115,129583,,,22 Great Hill Road 0.0,,,,,,,,,,,,,
116,129596,,,,,,,,,,,,,,,,CT -
117,129602,,,,,,,,,,,,,,,,CT -
118,129641,,,16 Thorndal Circle 16 Thorndal Circle,,,6840.0,,,,,,,,,,
119,129663,,,,,,,,,,,,,,,PeoplesBank,
120,129682,,,1010 WASHINGTON BLVD Floor 7,,,,,,,,,,,,,
121,129746,,,,VERNON,,,,,,,,,,,,
122,129791,,,"60 Westwood Ave,",,,,,,,,,,,,,
123,129826,,,1 Union Place,,,,,,,,,,,,,
124,129850,,,,,,,,,,,,,,,PeoplesBank,
125,129859,,,9 West Broad St. 0.0,,,,,,,,,,,,,
126,129967,,,288 TALCOTTVILLE RD 288 TALCOTTV,VERNON,,,,,,,,,,,,
127,130183,,ANDREW J LEVI MD,PARK AVENUE FERTILITY 5520 PARK AVE STE 103,,,,,,,,,,,,,
128,130245,,,,FAIRFEILD,,,,,,,,,,,,
129,130249,,,240 Fairfield Ave 3rd Flr Suite C,,,,,,,,,,,,,
130,130253,,,,,,,,,,,,,,,PeoplesBank,
131,130338,,,,,,,,,,,,,,,PeoplesBank,
132,130380,,,,GLASONBURY,,,,,,,,,,,,
