,index,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
236,7862,,BARKHAMSTED,,,,,,,,,,,,
237,7891,,PAWCATUCK,,,,,,,,,,,,
238,7919,,VERNON,,,,,,,,,,,,
239,7979,,VERNON,,,,,,,,,,,,
240,8009,,WEST HARTFORD,,,,,,,,,,,,
241,8047,,"FARMINGTON,",,,,,,,,,,,,
242,8120,,E HARTFORD,,,,,,,,,,,,
243,8126,,YALESVILLE,,,,,,,,,,,,
244,8130,,WOODBURY,,,,,,,,,,,,
245,8177,,EAST BELRIN,,,,,,,,,,,,
246,8219,,WEST HARTFORD,,,,,,,,,,,,
247,8256,,EAST HAVEN,,,,,,,,,,,,
248,8296,,KENSINGTON,,,,,,,,,,,,
249,8312,,WOLCOTTTT,,,,,,,,,,,,
250,8338,,VERNON,,,,,,,,,,,,
251,8394,,BARKHAMSTED,,,,,,,,,,,,
252,8518,,EAST BERLIN,,,,,,,,,,,,
253,8533,,COLLINSVILLE,,,,,,,,,,,,
254,8536,,,,,,,,,,,,,PeoplesBank,
255,8563,,BARKHAMSTED,,,,,,,,,,,,
256,8599,,HADLYME,,,,,,,,,,,,
257,8609,,OLDSAYBROOK,,,,,,,,,,,,
258,8668,,,,,541712.0,,,,,,,,,
259,8816,,OLD SAYBROOK,,,,,,,,,,,,
260,8817,,,,,,,,,,,,,,CT -
261,8820,,WINDSOR,,,,,,,,,,,,
262,8823,,W HARTFORD,,,,,,,,,,,,
263,8834,,NEW HAVEN,,,,,,,,,,,,
264,8857,,CT,,,,,,,,,,,,
265,8869,,MYSTIC,,,,,,,,,,,,
266,8877,,VERNON,,,,,,,,,,,,
267,8935,,WARREN,,,,,,,,,,,,
268,8936,,NEW HAVEN,,,,,,,,,,,,
269,8962,,CT,,,,,,,,,,,,
270,9022,,SOUTH NORWALK,,,,,,,,,,,,
271,9079,,WATERTOWN,,,,,,,,,,,,
272,9086,,COLLINSVILLE,,,,,,,,,,,,
273,9095,,STAMFORD,,,,,,,,,,,,
274,9118,,CT,,,,,,,,,,,,
275,9234,,,,,,,,,,,,,PeoplesBank,
276,9303,,NEW HAVEN,,,,,,,,,,,,
277,9407,,VERNON,,,,,,,,,,,,
278,9539,,COLLINSVILLE,,,,,,,,,,,,
279,9629,,W. HARTFORD,,,,,,,,,,,,
280,9649,,,,,,,,,,,,,Citizens Bank,
281,9655,,,,,541712.0,,,,,,,,,CT -
282,9667,,GRISWOLD,,,,,,,,,,,,
283,9691,,"NORWALK,",,,,,,,,,,,,
284,9716,,BRIDGEPORT,,,,,,,,,,,,
285,9741,,S WINDSOR,,,,,,,,,,,,
286,9766,,,,,,,,,,,,,PeoplesBank,
287,9804,,PROPSECT,,,,,,,,,,,,
288,9861,,WEST HAVEN,,,,,,,,,,,,
289,9866,,EAST HAVEN,,,,,,,,,,,,
290,9872,,OXXFORD,,,,,,,,,,,,
291,9879,,"WESTPORT,",,,,,,,,,,,,
292,9894,,COLLINSVILLE,,,,,,,,,,,,
293,9913,,,,,,,,,,,,,,CT -
294,9926,,WATERTOWN,,,,,,,,,,,,
295,10003,,VERNON,,,,,,,,,,,,
296,10004,,MYSITC,,,,,,,,,,,,
297,10010,,,,,,,,,,,,,,CT -
298,10017,,NEW MILFORD,,,,,,,,,,,,
299,10022,,COLLINSVILLE,,,,,,,,,,,,
300,10052,,NEW HAVEN,,,,,,,,,,,,
301,10094,,,,,,,,,,,,,PeoplesBank,
302,10095,,DURHAM,,,,,,,,,,,,
303,10142,,MANSFIELD,,,,,,,,,,,,
304,10147,,,,,,,,,,,,,,CT -
305,10231,,,,,541712.0,,,,,,,,,
306,10284,,CT,,,,,,,,,,,,
307,10295,,COLLINSVILLE,,,,,,,,,,,,
308,10297,,WARREN,,,,,,,,,,,,
309,10329,,WINSTEAD,,,,,,,,,,,,
310,10387,,,,,541712.0,,,,,,,,,CT -
311,10389,,NORWICH,,,,,,,,,,,,
312,10441,,NEW HAVEN,,,,,,,,,,,,
313,10458,,COLLINSVILLE,,,,,,,,,,,,
314,10459,,KENSINGTON,,,,,,,,,,,,
315,10485,,GLASTONBURY,,,,,,,,,,,,
316,10548,,PAINVILLE,,,,,,,,,,,,
317,10658,,STORRS,,,,,,,,,,,,
318,10673,,EAST HAVEN,,,,,,,,,,,,
319,10769,,CT,,,,,,,,,,,,
320,10797,,BRIDGEPORT,,,,,,,,,,,,
321,10798,,NEW HAVEN,,,,,,,,,,,,
322,10853,,BRISTOL  CT,,,,,,,,,,,,
323,10911,,,,,722110.0,,,,,,,,,
324,10926,,,,,,,,,,,,,PeoplesBank,
325,10938,,,,,,,,,,,,,Citizens Bank,
326,10980,,,,,,,,,,,,,,CT -
327,11004,,WEST CORNWELL,,,,,,,,,,,,
328,11014,,SHELTON,,,,,,,,,,,,
329,11019,,WINDHAM,,,,,,,,,,,,
330,11021,,EAST HAVEN,,,,,,,,,,,,
331,11061,,NEW BRITAN,,,,,,,,,,,,
332,11096,,,,,,,,,,,,,PeoplesBank,
333,11097,,BLACK ROCK,,,,,,,,,,,,
334,11149,,VERNON,,,,,,,,,,,,
335,11169,,NOANK,,,,,,,,,,,,
336,11179,,,,,,,,,,,,,,CT -
337,11181,,WEST HARTFORD,,,,,,,,,,,,
338,11194,,KENSINGTON,,,,,,,,,,,,
339,11222,,HARTFORD,,,,,,,,,,,,
340,11282,,,,,,,,,,,,,,CT -
341,11347,,WASHINGTON DEPOT,,,,,,,,,,,,
342,11496,,,,,,,,,,,,,PeoplesBank,
343,11504,,BRISTOL,,,,,,,,,,,,
344,11550,,NEW BRITIAN,,,,,,,,,,,,
345,11567,,,,,,,,,,,,,,CT -
346,11586,,MIDDLEFIELD,,,,,,,,,,,,
347,11617,,GAYLORDVILLE,,,,,,,,,,,,
348,11620,,ROCKVILLE,,,,,,,,,,,,
349,11729,,HUNTINGTON,,,,,,,,,,,,
350,11731,,NEW HAVEN,,,,,,,,,,,,
351,11735,,VERNON,,,,,,,,,,,,
352,11757,,WATERBURY,,,,,,,,,,,,
353,11799,,KENSINGTON,,,,,,,,,,,,
354,11817,,,,,,,,,,,,,Citizens Bank,
355,11818,,,,,235990.0,,,,,,,,,
356,11838,,LISBON,,,,,,,,,,,,
357,11853,,,,,,,,,,,,,PeoplesBank,
358,11956,,EAST BERLIN,,,,,,,,,,,,
359,11980,,KENSINGTON,,,,,,,,,,,,
360,12009,,,,,452990.0,,,,,,,,,
361,12121,,UNION,,,,,,,,,,,,
362,12130,,GOTON,,,,,,,,,,,,
363,12141,,RAIRFIELD,,,,,,,,,,,,
364,12170,,WOODBURY,,,,,,,,,,,,
365,12176,,WARREN,,,,,,,,,,,,
366,12195,,,,,,,,,,,,,Citizens Bank,
367,12289,,SHELTON,,,,,,,,,,,,
368,12314,,W HARTFORD,,,,,,,,,,,,
369,12332,,HUNTINGTON,,,,,,,,,,,,
370,12341,,NEW HAVEN,,,,,,,,,,,,
371,12361,,,,,,,,,,,,,PeoplesBank,
372,12440,,KENSINGTON,,,,,,,,,,,,
373,12502,,CT,,,,,,,,,,,,
374,12531,,,,,,,,,,,,,PeoplesBank,
375,12539,,MANSFIELD,,,,,,,,,,,,
376,12542,,ROCKY HILL,,,,,,,,,,,,
377,12566,,CT,,,452990.0,,,,,,,,,
378,12595,,VERNON,,,,,,,,,,,,
379,12596,,KENSINGTON,,,,,,,,,,,,
380,12605,,EAST HAVEN,,,,,,,,,,,,
381,12666,,WETHERSFIELD,,,,,,,,,,,,
382,12674,,CENTRAL VILLAGE,,,,,,,,,,,,
383,12682,,,,,,,,,,,,,,CT -
384,12708,,VERNON,,,,,,,,,,,,
385,12718,,WATERFORD,,,,,,,,,,,,
386,12732,,W. HARTFORD,,,,,,,,,,,,
387,12783,,CT,,,,,,,,,,,,
388,12784,,EAST HAVEN,,,,,,,,,,,,
389,12793,,,,,,,,,,,,,PeoplesBank,
390,12801,,WOODBRIDGE,,,,,,,,,,,,
391,12848,,MIDDLETOWN,,,,,,,,,,,,
392,12855,,COLLINSVILLE,,,,,,,,,,,,
393,12867,,BRISTOL,,,,,,,,,,,,
